shape,relpath,dtw_vs_avg_demo
GShape,with_llc_none/GShape_with_llc_none_NODE_CLF_L1.npz,794.668640
GShape,with_llc_unmatched_const/GShape_with_llc_unmatched-const_NODE.npz,8128.143632
GShape,with_llc_unmatched_const/GShape_with_llc_unmatched-const_NODE_CLF.npz,3619.362867
GShape,with_llc_unmatched_const/GShape_with_llc_unmatched-const_NODE_CLF_L1.npz,763.501058
GShape,with_llc_unmatched_sine/GShape_with_llc_unmatched-sine_NODE.npz,10206.332126
GShape,with_llc_unmatched_sine/GShape_with_llc_unmatched-sine_NODE_CLF.npz,3926.615308
GShape,with_llc_unmatched_sine/GShape_with_llc_unmatched-sine_NODE_CLF_L1.npz,829.174626
PShape,no_llc_pulse/PShape_no_llc_direct-midpulse_NODE.npz,6206.087379
PShape,no_llc_pulse/PShape_no_llc_direct-midpulse_NODE_CLF.npz,4573.284076
PShape,no_llc_pulse/PShape_no_llc_direct-midpulse_NODE_CLF_L1.npz,941.366682
PShape,with_llc_matched_const/PShape_with_llc_matched-const_NODE.npz,6650.439558
PShape,with_llc_matched_const/PShape_with_llc_matched-const_NODE_CLF.npz,2525.618635
PShape,with_llc_matched_const/PShape_with_llc_matched-const_NODE_CLF_L1.npz,653.276543
PShape,with_llc_matched_sine/PShape_with_llc_matched-sine_NODE.npz,6596.935652
PShape,with_llc_matched_sine/PShape_with_llc_matched-sine_NODE_CLF.npz,2522.889382
PShape,with_llc_matched_sine/PShape_with_llc_matched-sine_NODE_CLF_L1.npz,653.033423
PShape,with_llc_none/PShape_with_llc_none_NODE.npz,6654.500209
PShape,with_llc_none/PShape_with_llc_none_NODE_CLF.npz,2525.589655
PShape,with_llc_none/PShape_with_llc_none_NODE_CLF_L1.npz,653.302265
PShape,with_llc_unmatched_const/PShape_with_llc_unmatched-const_NODE.npz,5180.442997
PShape,with_llc_unmatched_const/PShape_with_llc_unmatched-const_NODE_CLF.npz,3071.787062
PShape,with_llc_unmatched_const/PShape_with_llc_unmatched-const_NODE_CLF_L1.npz,624.218808
PShape,with_llc_unmatched_sine/PShape_with_llc_unmatched-sine_NODE.npz,3133.904190
PShape,with_llc_unmatched_sine/PShape_with_llc_unmatched-sine_NODE_CLF.npz,1122.865704
PShape,with_llc_unmatched_sine/PShape_with_llc_unmatched-sine_NODE_CLF_L1.npz,505.990558
SShape,no_llc_pulse/Sshape_no_llc_direct-midpulse_NODE.npz,3945.872489
SShape,no_llc_pulse/Sshape_no_llc_direct-midpulse_NODE_CLF.npz,3489.141971
